id,datasetKey,species,x,y,accuracy,year,institution,source
476565593,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.62333,41.41194,1500,2001,MCZ,gbif
476565502,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.62417,41.41222,1500,2001,MCZ,gbif
476561221,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.58917,41.51056,1500,2000,MCZ,gbif
476561108,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.65639,41.54389,1500,2001,MCZ,gbif
476561000,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.43833,41.5325,1500,2000,MCZ,gbif
476560790,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.45778,41.55139,1500,2000,MCZ,gbif
476560788,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.45778,41.55139,1500,2001,MCZ,gbif
476560688,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.44139,41.63111,1500,2000,MCZ,gbif
476560687,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.45528,41.55222,1500,2000,MCZ,gbif
476559775,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.44056,41.62861,1500,2000,MCZ,gbif
476559774,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.46389,41.57694,1500,2000,MCZ,gbif
476559773,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.46389,41.57694,1500,2001,MCZ,gbif
476557101,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.73194,41.44222,1500,2000,MCZ,gbif
476557010,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.73222,41.44222,1500,2000,MCZ,gbif
476556906,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.72472,41.57056,1500,2000,MCZ,gbif
476556471,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.70863,41.58725,117,2000,MCZ,gbif
476556301,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.735830000000007,41.35972,1500,2002,MCZ,gbif
476556266,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.71639,41.57833,1500,2000,MCZ,gbif
476556265,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.73,41.59361,1500,2000,MCZ,gbif
476556264,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.74028,41.59056,1500,2000,MCZ,gbif
476556263,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.71167,41.59639,1500,2000,MCZ,gbif
476555980,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.46333,41.56083,1500,2000,MCZ,gbif
476555667,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.72436,41.46853,110,2000,MCZ,gbif
476512893,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-71.3341,45.041,3542.17,1985,MCZ,gbif
476512345,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,Pseudacris crucifer,-72.89954,42.55508,1031.59,1983,MCZ,gbif
